Балкон или лоджия,В доме,Вид сделки,Высота потолков,Год постройки,Грузовой лифт,Двор,Дополнительно,Жилая площадь,Количество комнат,"Корпус, строение",Мебель,Название новостройки,Общая площадь,Окна,Отделка,Парковка,Пассажирский лифт,Площадь кухни,Ремонт,Санузел,Способ продажи,Срок сдачи,Техника,Тип дома,Тип участия,Тёплый пол,Этаж,Этажей в доме
лоджия,,возможна ипотека,2.9 м,,,"детская площадка, спортивная площадка",,30.1 м²,1,Урбан-блок UB2,,ЖК SET,35.1 м²,,без отделки,,,,,,,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,35 из 59,59
лоджия,"мусоропровод, газ",возможна ипотека,2.6 м,1973,нет,детская площадка,,17 м²,1,,,,33 м²,во двор,,,2,8 м²,требует ремонта,совмещенный,свободная,,,панельный,,,11 из 12,12
,,,3 м,,,"детская площадка, спортивная площадка",,13.3 м²,1,Корпус B (Crystal),,ЖК «‎SYMPHONY34 (Симфония 34)» ,39.4 м²,,предчистовая,,,,,,,Сдан 4 кв. 2024,,монолитно-кирпичный,другое,,6 из 49,49
,,возможна ипотека,2.8 м,2024,1,"закрытая территория, детская площадка, спортивная площадка",,22 м²,1,,спальные места,,36.1 м²,во двор,,открытая во дворе,1,5.4 м²,евро,совмещенный,свободная,,,монолитный,,,12 из 17,17
лоджия,,возможна ипотека,2.9 м,,,"детская площадка, спортивная площадка",,29.8 м²,1,Урбан-блок UB2,,ЖК SET,34.8 м²,,без отделки,,,,,,,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,23 из 59,59
,,,3 м,,,,,,1,ЖК PRIDE,,ЖК PRIDE,49.4 м²,,без отделки,подземная,,,,,,Сдача в 4 кв. 2025,,монолитный,ДДУ по ФЗ 214,,2 из 22,22
,,возможна ипотека,3 м,,1,"закрытая территория, детская площадка",,,1,Корпус 3,,ЖК «Мангазея в Богородском»,41.5 м²,,без отделки,,1,,,,договор долевого участия,Сдача в 2 кв. 2028,,монолитный,ДДУ по ФЗ 214,,20 из 31,31
лоджия,мусоропровод,возможна ипотека,2.7 м,1999,1,детская площадка,,19 м²,1,,"кухня, хранение одежды, спальные места",,38 м²,во двор,,открытая во дворе,1,8 м²,косметический,совмещенный,свободная,,,панельный,,,2 из 12,12
,,возможна ипотека,3 м,,,"закрытая территория, детская площадка, спортивная площадка",,,1,Корпус 8.2,,ЖК «Мангазея на Речном»,46.7 м²,во двор,без отделки,подземная,,,,,договор долевого участия,Сдача в 3 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,14 из 24,24
,,,3 м,,,,,,1,1 корпус (4 этап),,ЖК «LIFE Варшавская»,40.3 м²,,чистовая,подземная,,,,,,Сдача в 4 кв. 2026,,монолитно-кирпичный,ДДУ по ФЗ 214,,2 из 9,9
лоджия,,,2.8 м,,,,,16.4 м²,1,Дом 5 (2 этап),,Жилой квартал «Филатов Луг»,38.7 м²,во двор,без отделки,,1,11.2 м²,,"совмещенный, раздельный",,Сдача в 2 кв. 2026,,монолитный,ДДУ по ФЗ 214,,11 из 22,22
,,,,,,,,,1,Жилой комплекс Лайм,,ЖК «Лайм»,51.2 м²,,без отделки,,,,,,,Сдан 1 кв. 2022,,монолитно-кирпичный,другое,,9 из 27,27
,,возможна ипотека,2.9 м,,1,"закрытая территория, детская площадка, спортивная площадка",,,1,"4 очередь, Корпус F («Левенгук»)",,ЖК «Селигер Сити»,38.9 м²,,без отделки,подземная,1,,,,договор долевого участия,Сдача в 3 кв. 2026,,монолитно-кирпичный,ДДУ по ФЗ 214,,12 из 21,21
